Date,Price,Open,High,Low,Vol.,Change %
"Jun 15, 2021",1859.65,1868,1870.85,1853.1,-,-0.33%
"Jun 14, 2021",1865.9,1879.6,1879.7,1845.7,242.30K,-0.73%
"Jun 11, 2021",1879.6,1901.9,1906.2,1876.1,220.46K,-0.89%
"Jun 10, 2021",1896.4,1891.4,1903,1871.8,250.55K,0.05%
"Jun 09, 2021",1895.5,1894.4,1901.7,1889.3,147.33K,0.06%
"Jun 08, 2021",1894.4,1901.6,1906.9,1885.7,173.60K,-0.23%
"Jun 07, 2021",1898.8,1894.3,1902.9,1883.7,146.02K,0.36%
"Jun 04, 2021",1892,1872.7,1899,1855.6,228.83K,1%
"Jun 03, 2021",1873.3,1910.5,1912.3,1866.7,278.58K,-1.92%
"Jun 02, 2021",1909.9,1903,1911.8,1896.4,166.04K,0.26%
"Jun 01, 2021",1905,1906.8,1919.2,1894.5,290.65K,-0.32%
"May 31, 2021",1911.15,1906.8,1913.4,1904.85,-,0.23%
"May 30, 2021",1906.75,1907.6,1907.9,1906.1,-,0.08%
"May 28, 2021",1905.3,1899.8,1908.8,1884.3,198.14K,0.36%
"May 27, 2021",1898.5,1899.3,1906.5,1890.8,211.79K,-0.28%
"May 26, 2021",1903.8,1902.4,1915.6,1893,178.18K,0.17%
"May 25, 2021",1900.5,1883.4,1903.7,1875.4,176.60K,0.73%
"May 24, 2021",1886.7,1885.6,1890,1877.9,55.84K,0.42%
"May 21, 2021",1878.9,1880.4,1892.3,1872.5,53.04K,-0.27%
"May 20, 2021",1883.9,1872.2,1887.2,1866.2,44.91K,0.03%
"May 19, 2021",1883.4,1872.2,1893.2,1854.4,58.81K,0.71%
"May 18, 2021",1870.1,1869.1,1877.8,1865.6,49.55K,0.03%
"May 17, 2021",1869.6,1843.5,1871.1,1843.1,42.11K,1.61%
"May 14, 2021",1840,1829.3,1849,1821.3,24.14K,0.76%
"May 13, 2021",1826.1,1816.6,1830.9,1810.7,41.80K,0.07%
"May 12, 2021",1824.8,1840.2,1846.5,1815,55.16K,-0.72%
"May 11, 2021",1838.1,1837.6,1844.3,1819.8,71.63K,-0.09%
"May 10, 2021",1839.8,1836.1,1848.4,1832.8,64.97K,0.34%
"May 07, 2021",1833.5,1817.3,1846.5,1815.7,26.44K,0.86%
"May 06, 2021",1817.9,1789,1820.5,1784.1,23.09K,1.76%
"May 05, 2021",1786.5,1780.9,1790.2,1771.5,20.46K,0.47%
"May 04, 2021",1778.2,1795.1,1801.6,1771.6,9.94K,-0.88%
"May 03, 2021",1794,1770.4,1800.8,1768.5,7.92K,1.37%
"Apr 30, 2021",1769.8,1773.9,1775,1765.6,17.31K,-0.04%
"Apr 29, 2021",1770.5,1784.2,1791.5,1756.8,8.69K,-0.32%
"Apr 28, 2021",1776.1,1777.3,1784.7,1763.9,5.98K,-0.28%
"Apr 27, 2021",1781,1783.2,1787.8,1776.6,7.80K,-0.07%
"Apr 26, 2021",1782.3,1776,1784.9,1770.8,3.72K,0.13%
"Apr 23, 2021",1779.9,1786.3,1798.2,1771.7,5.12K,-0.23%
"Apr 22, 2021",1784,1797,1800,1779.3,2.13K,-0.62%
"Apr 21, 2021",1795.2,1780.6,1800,1779,3.26K,0.83%
"Apr 20, 2021",1780.4,1772.7,1782.6,1765.8,1.91K,0.43%
"Apr 19, 2021",1772.7,1780.1,1791.7,1768.6,1.87K,-0.53%
"Apr 16, 2021",1782.2,1766.2,1786.2,1763.7,2.57K,0.76%
"Apr 15, 2021",1768.8,1738.8,1772.4,1736.8,3.88K,1.76%
"Apr 14, 2021",1738.2,1748.4,1752.5,1734.7,2.79K,-0.65%
"Apr 13, 2021",1749.5,1734.7,1751.2,1725.5,4.27K,0.86%
"Apr 12, 2021",1734.6,1745.2,1748,1729.6,3.63K,-0.7%
"Apr 09, 2021",1746.8,1757.3,1759,1732.9,4.02K,-0.77%
"Apr 08, 2021",1760.3,1739.5,1761.2,1735.8,4.00K,0.96%
"Apr 07, 2021",1743.6,1746.6,1747.2,1734,1.72K,-0.08%
"Apr 06, 2021",1745,1731.8,1748.3,1730.7,3.87K,0.83%
"Apr 05, 2021",1730.7,1732.1,1735.9,1723.6,1.37K,0.02%
"Apr 01, 2021",1730.3,1711.4,1733.2,1708.8,2.20K,0.75%
"Mar 31, 2021",1717.5,1687.3,1718.1,1679.4,2.71K,1.75%
"Mar 30, 2021",1687.9,1714.8,1715.8,1680.6,2.72K,-1.67%
"Mar 29, 2021",1716.5,1736.3,1736.3,1707.5,4.05K,-1.15%
"Mar 26, 2021",1736.5,1729.9,1738.9,1723.2,3.39K,0.43%
"Mar 25, 2021",1729.1,1738,1748.8,1725,2.95K,-0.47%
"Mar 24, 2021",1737.2,1730.7,1741.5,1729,3.96K,0.45%
"Mar 23, 2021",1729.5,1743.1,1746,1727.2,3.55K,-0.74%
"Mar 22, 2021",1742.4,1745,1745.9,1730.7,2.56K,-0.19%
"Mar 19, 2021",1745.8,1739.5,1750,1731.7,2.72K,0.54%
"Mar 18, 2021",1736.5,1751.2,1758,1722.1,1.44K,0.31%
"Mar 17, 2021",1731.1,1732,1754,1727.5,1.69K,-0.24%
"Mar 16, 2021",1735.2,1733.7,1743.8,1731,1.39K,0.08%
"Mar 15, 2021",1733.8,1730,1737.3,1724.8,0.55K,0.55%
"Mar 12, 2021",1724.3,1726.3,1732.4,1701.6,1.14K,-0.17%
"Mar 11, 2021",1727.2,1729.5,1742.5,1722.5,4.24K,0.04%
"Mar 10, 2021",1726.5,1719.5,1728.7,1711.3,7.20K,0.27%
"Mar 09, 2021",1721.9,1687.3,1722.3,1687.3,4.59K,2.32%
"Mar 08, 2021",1682.9,1711.8,1715.7,1678.4,7.90K,-1.23%
"Mar 05, 2021",1703.8,1696.8,1709.7,1690.8,3.17K,-0.12%
"Mar 04, 2021",1705.9,1712.2,1725.6,1693,4.05K,-0.88%
"Mar 03, 2021",1721,1734.6,1734.6,1705,2.19K,-1.02%
"Mar 02, 2021",1738.8,1725.5,1742.6,1709.7,3.86K,0.61%
"Mar 01, 2021",1728.2,1738.1,1762,1723,1.83K,-0.33%
"Feb 26, 2021",1734,1773.6,1777,1720.8,5.07K,-2.63%
"Feb 25, 2021",1780.8,1805.5,1805.5,1769.9,1.97K,-1.22%
"Feb 24, 2021",1802.8,1810.5,1814.8,1787.9,0.90K,-0.43%
"Feb 23, 2021",1810.5,1816.8,1817.4,1799.7,0.93K,-0.15%
"Feb 22, 2021",1813.2,1791,1816.8,1786.4,0.78K,1.74%
"Feb 19, 2021",1782.2,1771.3,1794.4,1765,1.11K,0.13%
"Feb 18, 2021",1779.9,1784.6,1792.6,1773.2,1.48K,0.12%
"Feb 17, 2021",1777.7,1792,1798,1773,1.97K,-1.45%
"Feb 16, 2021",1803.9,1826.6,1831,1793.5,1.98K,-0.82%
"Feb 15, 2021",1818.75,1820.9,1827,1815.6,-,-0.13%
"Feb 14, 2021",1821.05,1822.45,1826.3,1820.15,-,-0.39%
"Feb 12, 2021",1828.1,1825.9,1835,1817.9,1.24K,-0.21%
"Feb 11, 2021",1832,1842.2,1850.8,1826.9,1.20K,-0.85%
"Feb 10, 2021",1847.7,1840,1860.6,1840,2.06K,0.29%
"Feb 09, 2021",1842.4,1836.7,1853,1836.7,1.36K,0.19%
"Feb 08, 2021",1838.9,1820.7,1844,1814.1,2.78K,1.16%
"Feb 05, 2021",1817.8,1801.8,1820.4,1797.8,1.47K,1.22%
"Feb 04, 2021",1795.9,1838,1838,1790.3,1.74K,-2.38%
"Feb 03, 2021",1839.6,1844.3,1847.2,1834.8,1.21K,0.11%
"Feb 02, 2021",1837.6,1866.7,1869.1,1835.2,1.19K,-1.6%
"Feb 01, 2021",1867.4,1864.6,1874.6,1858.5,3.44K,0.68%
"Jan 29, 2021",1854.7,1847.6,1881.8,1847.6,1.91K,0.48%
"Jan 28, 2021",1845.8,1846.2,1870.4,1841.5,0.81K,-0.43%
"Jan 27, 2021",1853.8,1858.6,1858.6,1843,1.26K,-0.32%
"Jan 26, 2021",1859.8,1868.6,1868.6,1857,1.71K,-0.22%
"Jan 25, 2021",1863.9,1864.4,1874.4,1855,1.66K,-0.05%
"Jan 22, 2021",1864.8,1871.3,1871.3,1845,1.12K,-0.49%
"Jan 21, 2021",1874,1876.9,1882.7,1869.2,1.81K,-0.04%
"Jan 20, 2021",1874.8,1853.1,1880,1840,1.02K,1.4%
"Jan 19, 2021",1849,1832.8,1850.7,1810,1.63K,0.68%
"Jan 18, 2021",1836.6,1809.65,1839.45,1809.65,-,1.48%
"Jan 17, 2021",1809.75,1826.8,1829.1,1803.6,-,-1.59%
"Jan 15, 2021",1839,1857.9,1863.4,1832.3,0.54K,-1.18%
"Jan 14, 2021",1861,1856.9,1866.2,1836.6,1.94K,-0.19%
"Jan 13, 2021",1864.6,1867.2,1871,1851.6,1.82K,0.57%
"Jan 12, 2021",1854.1,1860.2,1873.2,1846,1.40K,-0.37%
"Jan 11, 2021",1860.9,1853.4,1861.3,1828.2,1.37K,0.84%
"Jan 08, 2021",1845.4,1919.7,1920.6,1844,3.45K,-4.09%
"Jan 07, 2021",1924,1933.8,1938,1920.7,3.30K,0.24%
"Jan 06, 2021",1919.4,1965.6,1971.5,1914.4,3.81K,-2.33%
"Jan 05, 2021",1965.2,1955,1965.9,1953.7,2.22K,0.39%
"Jan 04, 2021",1957.6,1927.2,1959.2,1926.9,1.25K,2.94%
"Jan 01, 2021",1901.6,1901.6,1901.6,1901.6,-,-0.22%
"Dec 31, 2020",1905.8,1910,1915.2,1902.9,0.73K,0.09%
"Dec 30, 2020",1904,1896.5,1906.4,1891.2,0.66K,0.56%
"Dec 29, 2020",1893.4,1893.2,1900.3,1890.5,0.37K,0.14%
"Dec 28, 2020",1890.8,1900.8,1912,1885.8,0.54K,-0.12%
"Dec 24, 2020",1893.1,1888.9,1897,1886.9,0.18K,0.29%
"Dec 23, 2020",1887.6,1881.5,1892.3,1872.6,0.44K,0.4%
"Dec 22, 2020",1880,1891.1,1892,1875.6,0.69K,-0.64%
"Dec 21, 2020",1892.2,1916.4,1920.9,1872,0.56K,-0.32%
"Dec 18, 2020",1898.2,1893.6,1903.7,1892.1,0.57K,-0.07%
"Dec 17, 2020",1899.5,1876.1,1910,1876.1,0.35K,1.69%
"Dec 16, 2020",1867.9,1871.2,1876,1864.9,0.85K,0.16%
"Dec 15, 2020",1864.9,1850.2,1865.7,1850.2,0.50K,1.25%
"Dec 14, 2020",1841.9,1848.3,1849.1,1830,0.68K,-0.6%
"Dec 11, 2020",1853.1,1848.9,1859.5,1836.6,2.14K,0.34%
"Dec 10, 2020",1846.9,1849.6,1857.1,1840.8,2.72K,-0.04%
"Dec 09, 2020",1847.7,1883.1,1883.1,1844,1.66K,-1.94%
"Dec 08, 2020",1884.2,1877,1886.6,1874.5,1.91K,0.47%
"Dec 07, 2020",1875.3,1847.9,1880.4,1834.2,2.15K,1.42%
"Dec 04, 2020",1849,1850,1860.4,1842.8,0.91K,0%
"Dec 03, 2020",1849,1843.6,1854.4,1836.1,0.91K,0.58%
"Dec 02, 2020",1838.4,1820.6,1843,1820.6,1.15K,0.58%
"Dec 01, 2020",1827.8,1789.4,1829.7,1789.4,1.45K,2.1%
"Nov 30, 2020",1790.2,1798.8,1798.8,1776.6,0.89K,-0.41%
"Nov 27, 2020",1797.5,1824,1826.4,1787,0.55K,-0.53%
"Nov 26, 2020",1807,1806.25,1816.8,1804.2,-,-0.73%
"Nov 25, 2020",1820.2,1821.7,1829.9,1818.4,0.74K,-0.02%
"Nov 24, 2020",1820.6,1850.8,1851.2,1817.5,0.74K,-1.82%
"Nov 23, 2020",1854.3,1885.2,1889.6,1846.5,0.78K,-1.8%
"Nov 20, 2020",1888.2,1882.7,1894,1881.7,0.28K,0.58%
"Nov 19, 2020",1877.4,1873.3,1877.5,1870,0.17K,-0.64%
"Nov 18, 2020",1889.5,1892.5,1893.6,1882,0.58K,-0.69%
"Nov 17, 2020",1902.6,1906.2,1906.2,1903.5,0.42K,-0.18%
"Nov 16, 2020",1906,1903.1,1904.7,1903,0.22K,-0.02%
"Nov 13, 2020",1906.3,1894.9,1913.9,1894.9,0.45K,0.68%
"Nov 12, 2020",1893.5,1889.9,1901.6,1889.9,0.91K,0.66%
"Nov 11, 2020",1881.1,1897.1,1900.3,1874,0.40K,-0.83%
"Nov 10, 2020",1896.9,1893.8,1903.9,1888.1,0.37K,1.19%
"Nov 09, 2020",1874.5,1978.4,1978.4,1871.9,0.57K,-4.99%
"Nov 06, 2020",1973,1961.5,1977.7,1958.1,0.43K,0.29%
"Nov 05, 2020",1967.3,1948.4,1968.3,1948.4,0.16K,2.67%
"Nov 04, 2020",1916.1,1916.7,1928.5,1908.1,0.23K,-0.73%
"Nov 03, 2020",1930.1,1912.6,1928,1912.6,0.22K,0.92%
"Nov 02, 2020",1912.5,1896.8,1914.9,1896.8,0.12K,0.66%
"Oct 30, 2020",1899.9,1908,1908,1897.6,0.16K,0.62%
"Oct 29, 2020",1888.2,1886.2,1886.2,1884,0.62K,-0.62%
"Oct 28, 2020",1900,1928.9,1928.9,1897.3,0.08K,-1.7%
"Oct 27, 2020",1932.9,1921.4,1933.5,1921.4,0.06K,0.3%
"Oct 26, 2020",1927.1,1919,1926.1,1919,0.06K,0.04%
"Oct 23, 2020",1926.4,1926.3,1926.4,1924.6,0.04K,0.04%
"Oct 22, 2020",1925.7,1940.5,1940.5,1907.6,0.18K,-1.26%
"Oct 21, 2020",1950.3,1925.1,1948.6,1925.1,0.16K,0.72%
"Oct 20, 2020",1936.3,1922.9,1936.6,1921.9,0.11K,0.17%
"Oct 19, 2020",1933,1941.9,1941.9,1941.9,0.12K,0.24%
"Oct 16, 2020",1928.3,1934.4,1934.4,1927.5,0.06K,-0.13%
"Oct 15, 2020",1930.8,1923.2,1923.2,1919.2,0.18K,0.05%
"Oct 14, 2020",1929.8,1929.4,1929.4,1926.7,0.25K,0.68%
"Oct 13, 2020",1916.7,1937.5,1949.6,1915.8,0.23K,-1.74%
"Oct 12, 2020",1950.7,1953.5,1957.7,1948.7,0.22K,0.15%
"Oct 09, 2020",1947.8,1930.5,1956.2,1929.5,0.23K,1.62%
"Oct 08, 2020",1916.8,1902.8,1916.2,1899,0.21K,0.27%
"Oct 07, 2020",1911.6,1894.5,1911.4,1890,0.19K,-0.87%
"Oct 06, 2020",1928.3,1937.2,1942.2,1900.5,0.10K,-0.55%
"Oct 05, 2020",1939,1937,1937,1937,0.11K,0.64%
"Oct 02, 2020",1926.6,1929.6,1933.7,1921.3,0.12K,-0.45%
"Oct 01, 2020",1935.4,1927.6,1935.5,1921.2,0.18K,1.09%
"Sep 30, 2020",1914.6,1915.3,1918.9,1905.2,0.05K,-0.39%
"Sep 29, 2020",1922.1,1907.4,1921.2,1907.4,0.05K,1.11%
"Sep 28, 2020",1901,1883.7,1905.5,1872,0.35K,0.86%
"Sep 25, 2020",1884.8,1885.1,1885.1,1880,0.06K,-0.53%
"Sep 24, 2020",1894.9,1879.9,1892.6,1874.7,0.26K,0.42%
"Sep 23, 2020",1887,1924.6,1924.6,1876.3,0.57K,-2.1%
"Sep 22, 2020",1927.5,1937.9,1940.5,1925.5,0.09K,-0.13%
"Sep 21, 2020",1930,1978.2,1978.9,1913.5,0.19K,-2.62%
"Sep 18, 2020",1981.9,1974.2,1982,1973.6,0.08K,0.64%
"Sep 17, 2020",1969.3,1970.8,1974.4,1965.3,0.13K,-1.07%
"Sep 16, 2020",1990.7,1989.1,1997.9,1985,0.11K,0.22%
"Sep 15, 2020",1986.4,1986.1,1997.5,1981,0.04K,0.13%
"Sep 14, 2020",1983.9,1974.1,1987.8,1972.8,0.12K,0.84%
"Sep 11, 2020",1967.4,1971.3,1975.8,1966.5,0.10K,-0.8%
"Sep 10, 2020",1983.2,1971.1,1991.4,1969.4,0.21K,0.52%
"Sep 09, 2020",1972.9,1952.9,1973.6,1946.4,0.21K,0.57%
"Sep 08, 2020",1961.8,1957.5,1965.9,1938.8,0.88K,1.28%
"Sep 07, 2020",1937.1,1940.7,1947.4,1930.45,-,-0.18%
"Sep 06, 2020",1940.65,1941.9,1944.3,1937.65,-,-0.62%
"Sep 04, 2020",1952.8,1956.6,1959.5,1951.9,0.17K,-0.16%
"Sep 03, 2020",1956,1970,1972.8,1953.1,0.73K,-0.43%
"Sep 02, 2020",1964.5,1988.3,1990.9,1959.9,0.70K,-1.72%
"Sep 01, 2020",1998.8,2018.6,2018.6,1995,0.24K,-0.02%
"Aug 31, 2020",1999.1,1991.1,2002.3,1991.1,0.28K,0.3%
"Aug 28, 2020",1993.2,1956.5,1992.7,1951.3,0.31K,2.05%
"Aug 27, 2020",1953.1,1970.1,1970.3,1940.7,0.17K,-1.08%
"Aug 26, 2020",1974.4,1952.9,1952.9,1942.1,0.16K,1.5%
"Aug 25, 2020",1945.2,1965.2,1965.2,1944,0.02K,-0.87%
"Aug 24, 2020",1962.3,1962.5,1979.4,1955.9,0.11K,-0.37%
"Aug 21, 2020",1969.6,1982.3,1982.3,1959.9,0.12K,0.01%
"Aug 20, 2020",1969.5,1955.6,1976,1955.5,0.09K,-1.15%
"Aug 19, 2020",1992.5,2036,2036,1952.4,0.33K,-2.15%
"Aug 18, 2020",2036.2,2024.4,2041.1,2023.2,0.08K,0.72%
"Aug 17, 2020",2021.6,1981.7,2012.3,1971.6,0.11K,2.27%
"Aug 14, 2020",1976.8,1996.3,1996.9,1971,0.13K,-1.08%
"Aug 13, 2020",1998.3,1973.9,1993.9,1971.6,0.03K,1.1%
"Aug 12, 2020",1976.5,1955.6,1986.9,1913,0.11K,0.02%
"Aug 11, 2020",1976.1,2056.5,2062.2,1953.5,0.34K,-4.65%
"Aug 10, 2020",2072.4,2068.7,2080,2065,0.09K,0.53%
"Aug 07, 2020",2061.4,2120,2120,2060,0.39K,-1.99%
"Aug 06, 2020",2103.2,2086.7,2115,2085.9,0.40K,1.03%
"Aug 05, 2020",2081.7,2070,2100,2063,0.38K,1.42%
"Aug 04, 2020",2052.6,2024.6,2068.4,2018.7,0.39K,1.73%
"Aug 03, 2020",2017.7,2026.9,2040,2015.4,0.42K,0.03%
"Jul 31, 2020",2017.1,2005.2,2035,2005.2,0.27K,0.97%
"Jul 30, 2020",1997.7,2016,2016,1988.9,0.03K,-0.5%
"Jul 29, 2020",2007.7,2001,2025,2001,0.16K,0.56%
"Jul 28, 2020",1996.6,2008.1,2028.1,1967.2,0.16K,0.42%
"Jul 27, 2020",1988.3,1964.8,1999.9,1964.8,0.18K,1.57%
"Jul 24, 2020",1957.5,1941.8,1961,1941,0.31K,0.53%
"Jul 23, 2020",1947.2,1923.3,1945,1923.3,0.57K,1.47%
"Jul 22, 2020",1919,1909.5,1924.2,1906.4,0.13K,1.43%
"Jul 21, 2020",1891.9,1867.6,1891.3,1867,0.14K,1.67%
"Jul 20, 2020",1860.8,1862,1862.4,1862,0.03K,0.35%
"Jul 17, 2020",1854.3,1840.6,1851,1840.1,0.01K,0.37%
"Jul 16, 2020",1847.4,1856,1856,1856,0.03K,-0.83%
"Jul 15, 2020",1862.8,1862.3,1863.1,1854.3,0.10K,0.01%
"Jul 14, 2020",1862.7,1850,1863.9,1850,0.06K,-0.11%
"Jul 13, 2020",1864.8,1857.3,1858.3,1857.3,0.10K,0.69%
"Jul 10, 2020",1852,1853.7,1853.7,1851.3,0.12K,-0.11%
"Jul 09, 2020",1854,1871.9,1871.9,1871.9,0.12K,-0.92%
"Jul 08, 2020",1871.2,1851.8,1867.6,1851.8,0.25K,1.05%
"Jul 07, 2020",1851.8,1833.9,1853.6,1833.9,0.30K,1.15%
"Jul 06, 2020",1830.8,1825.8,1828.6,1825.8,1.74K,2.42%
"Jul 03, 2020",1787.6,1786.9,1788.7,1783.65,-,-2.05%
"Jul 02, 2020",1825,1799,1821.3,1798.8,0.17K,0.56%
"Jul 01, 2020",1814.8,1830,1838,1830,0.45K,-1%
"Jun 30, 2020",1833.2,1816.9,1835,1813.9,0.04K,1.14%
"Jun 29, 2020",1812.6,1816.5,1816.5,1811.2,0.09K,0.1%
"Jun 26, 2020",1810.8,1798.2,1814,1798,0.10K,0.55%
"Jun 25, 2020",1800.9,1800,1800,1800,0.05K,-0.23%
"Jun 24, 2020",1805.1,1806.5,1806.5,1806.5,0.30K,-0.25%
"Jun 23, 2020",1809.7,1803,1803,1803,0.26K,0.84%
"Jun 22, 2020",1794.7,1787,1798.4,1783.1,0.07K,0.71%
"Jun 19, 2020",1782.1,1767,1786.9,1761.8,0.52K,1.15%
"Jun 18, 2020",1761.9,1775,1775,1762.3,0.08K,-0.31%
"Jun 17, 2020",1767.4,1768.2,1768.2,1768.2,0.02K,-0.05%
"Jun 16, 2020",1768.2,1770,1770,1770,0.20K,0.55%
